অগ্র,পশ্চাৎ
ধারালো,ভোঁতা
ধর্ম,অধর্ম
নিমগ্ন,উদাসীন
নেতিবাচক,ইতিবাচক
নন্দিত,নিন্দিত
নির্দয়,সদয়
নব,পুরাতন
নশ্বর,অবিনশ্বর
নির্মল,পঙ্কিল
নিষেধ,বিধি
নিদ্রিত,জাগ্রত
নীরস,সরস
নিরত,বিরত
নিশ্চয়তা,অনিশ্চয়তা
নির্লজ্জ,সলজ্জ
নির্দেশক,অনির্দেশক
নিরাশ্রয়,সাশ্রয়
নিরপেক্ষ,সাপেক্ষ
নিরাকার,সাকার
নিন্দা,প্রশংসা
নিচেষ্ট,সচেষ্ট
নিরাশা,আশা
নর,নারী
পাপ,পুণ্য
পণ্ডিত,মূর্খ
প্রবল,দুর্বল
প্রবীণ,নবীন
প্রশস্ত,সংকীর্ণ
প্রকৃতি,বিকৃতি
প্রভু,ভৃত্য
প্রস্থান,আগমন
প্রচ্ছন্ন,ব্যক্ত
প্রকাশ,গোপন
প্রসারণ,সংকোচন
পরকাল,ইহকাল
পুষ্ট,ক্ষীণ
प्रत्यर্থী,অর্থী
প্রাচীন,নব্য/নবীন
প্রসন্ন,বিষণ্ণ
প্রীতিকর,অপ্রীতিকর
প্রারম্ভ,শেষ
প্রাচ্য,পাশ্চাত্য
প্রতিকূল,অনুকূল
প্রশ্বাস,নিঃশ্বাস
প্রশংসা,নিন্দা
অশান্ত,শান্ত
প্রবাসী,স্বদেশী
প্রতীচী,প্রাচী
পুরস্কার,তিরস্কার
পুণ্যবান,পুণ্যহীন
পরিশোধিত,অপরিশোধিত
প্রকৃত,অপ্রকৃত
প্রশান্তি,অশান্তি
পূর্ববর্তী,পরবর্তী
প্রফুল্ল,ম্লান
প্রধান,অপ্রধান
প্রত্যক্ষ,পরোক্ষ
প্রতিযোগী,সহযোগী
প্রচুর,স্বল্প
প্রকৃষ্ট,নিকৃষ্ট
পদার্থ,অপদার্থ
পূর্বাহ্ণ,অপরাহ্ণ
পড়া,ওঠা
পরার্থ,স্বার্থ
পক্ষ,বিপক্ষ
পটু,অপটু
ফলবান,নিষ্ফলা
পক্ব,অপক্ব
ফল,অফল
ফলন্ত,নিষ্ফলা
ফাঁপা,নিরেট
ফর্সা,ময়লা
বাদী,বিবাদী
বাচাল,স্বল্পভাষী
বিধি,নিষেধ
বন্য,গৃহপালিত
বরখাস্ত,বহাল
বাদ,প্রতিবাদ
বধূ,বর
বিস্তৃত,সংক্ষিপ্ত
বিনীত,দুর্বিনীত/উদ্ধত
বিজয়,পরাজয়
বক্তা,শ্রোতা
বন্দনা,গঞ্জনা
বিরল,বহুল
বিয়োগান্ত,মিলনান্ত
বিজ্ঞ,অজ্ঞ
বিদ্বান,মূর্খ
ব্যর্থ,সার্থক
ব্যর্থতা,সার্থকতা
বিরহ,মিলন
বিষাদ,আনন্দ
ব্যক্ত,সুপ্ত
বিলম্বিত,দ্রুত
বিপন্ন,নিরাপদ
বিপথ,সুপথ
বিনয়,ঔদ্ধত্য
বিদ্যমান,অবিদ্যমান
বিজন,সজন
বাহুল্য,স্বল্পতা
বাস্তব,কল্পিত
বামপন্থী,ডানপন্থী
বন্ধন,মুক্তি
বাধ্য,অবাধ্য
বাদী,বিবাদী
বাড়তি,কমতি
বহু,কম
বহির্ভূত,অন্তর্ভুক্ত
বন্ধুর,মসৃণ
বিরক্ত,অনুরক্ত
বিশ্রী,সুন্দর
বন্ধন,মুক্ত
ভীরু,নির্ভীক
ভণ্ড,সাধু
ভেজাল,খাঁটি
ভয়,সাহস
ভক্তি,অভক্তি
ভাঁটা,জোয়ার
ভাসা,ডোবা
ভোগ,ত্যাগ
ভেদ,অভেদ
ভূ-স্বামী,ভূমিহীন
ভূমিকা,উপসংহার
ভিন্ন,অভিন্ন
মধুর,তিক্ত
মিত্র,শত্রু
মুখ্য,গৌণ
মিলন,বিরহ
মুক্ত,বন্দি
মৃদু,তীব্র
মনীষা,নির্বোধ
মঙ্গল,অমঙ্গল
মনোযোগ,অমনোযোগ
মনোযোগী,অমনোযোগী
মর্যাদা,অমর্যাদা
মসৃণ,অমসৃণ
মৌখিক,লিখিত
মৌলিক,যৌগিক
মৃদু,প্রবল
মহৎ,নীচ
মিথ্যা,সত্য
মহাজন,খাতক
মহাত্মা,নীচাত্মা
মান্য,অমান্য
মানা,অমানা
মিঠা,তিতা
মিল,অমিল
মূর্ত,বিমূর্ত
মোটা,সরু
মোক্ষ,বন্ধন
যশ,কলঙ্ক
যোগ্য,অযোগ্য
যান্ত্রিক,প্রাকৃতিক
যত্ন,অযত্ন
যৌথ,একক
যুদ্ধ,শান্তি
যুগল,একক
যাওয়া,আসা
যশ,অপযশ
যাজক,বিয়োজক
রব,নীরব
রাগ,বিরাগ
রিক্ত,পূর্ণ
রাজা,প্রজা
রুগ্ণ,সুস্থ
রুদ্ধ,মুক্ত
রত,বিরত
রানী,রাজা
রোদ,বৃষ্টি
রুষ্ট,তুষ্ট
রাজি,নারাজ
রসিক,বেরসিক
রক্ষক,ভক্ষক
লঘু,গুরু
লেন,দেন
লঘিষ্ঠ,গরিষ্ঠ
লাল,কালো
লম্ব,তির্যক
লক্ষ্মী,অলক্ষ্মী
লাজুক,নির্লজ্জ
লব,হর
লিপ্সা,বিরাগ
লওয়া,দেওয়া
লৌকিক,অলৌকিক
লোভী,নির্লোভ
শিষ্ট,অশিষ্ট
শীতল,উষ্ণ
শত্রু,মিত্র
শৈত্য,উত্তাপ
শোক,হর্ষ/আনন্দ
শুভ,অশুভ
শূন্য,পূর্ণ
শীঘ্র,বিলম্ব
শ্রম,বিশ্রাম
শ্বাস,নিঃশ্বাস
শোভন,অশোভন
শুচি,অশুচি
শীত,গ্রীষ্ম
শান্তি,অশান্তি
শালীন,অশালীন
শারীরিক,মানসিক
শায়িত,উত্থিত
শঠ,সাধু
শর্বরী,দিবস
শ্রীযুক্ত,শ্রীহীন
শাসক,শাসিত
ষাঁড়,ষাঁড়ী
সিক্ত,শুষ্ক
স্থাবর,অস্থাবর
সকর্মক,অকর্মক
সংক্ষেপ,বিস্তার
সুষম,অসম
সাধু,তস্কর
সুখ্যাতি,কুখ্যাতি
স্মৃতি,বিস্মৃতি
সৃষ্টি,ধ্বংস
স্বতন্ত্র,পরতন্ত্র
স্থির,চঞ্চল
সম্বল,নিঃসম্বল
স্থলভাগ,জলভাগ
স্থাবর,অস্থাবর
স্তুতি,নিন্দা
সৌভাগ্যবান,ভাগ্যাহত
সুশ্রী,কুশ্রী
সুলভ,দুর্লভ
সুর,অসুর
সুপ্ত,জাগ্রত
সাকার,নিরাকার
সসীম,অসীম
সরস,নীরস
সরল,কুটিল
সরকারি,বেসরকারি
সুধা,গরল
সুদর্শন,কুদর্শন
সুন্দর,কুৎসিত
সাহসিকতা,ভীরুতা
সাহসী,ভীরু
সার্থক,নিরর্থক
সামনে,পিছনে
সার,অসার
সাবালিকা,নাবালিকা
সাদৃশ্য,বৈসাদৃশ্য
সমাপ্ত,আরম্ভ
সমতল,অসমতল
সম্প্রসারণ,সংকোচন
সরু,মোটা
সদাচার,কদাচার
সদর,অন্দর
সদয়,নির্দয়
সত্য,মিথ্যা
সত্বর,ধীর
সংশ্লেষণ,বিশ্লেষণ
সংহত,বিভক্ত
সহিষ্ণু,অসহিষ্ণু
সংযোগ,বিয়োগ
সঞ্চয়,অপচয়
সজ্ঞান,অজ্ঞান
সজীব,নির্জীব
সচ্ছল,অসচ্ছল
সচ্চরিত্র,দুশ্চরিত্র
সংক্ষিপ্ত,বিস্তৃত
সংকীর্ণ,প্রশস্ত
সংকুচিত,প্রসারিত
স্মরণ,বিস্মরণ
সুগম,দুর্গমে
হ্রাস,বৃদ্ধি
হর্ষ,বিষাদ
হুঁশ,বেহুঁশ
ক্ষুদ্র,বৃহৎ
হক,বেহক
হলাহল,অমৃত, সুধা
হাজির,গরহাজির
হৃদ্যতা,শত্রুতা
হিসেবি,বেহিসেবি
হৃদ্য,ঘৃণ্য
হালকা,ভারি
হাল,সাবেক
হিত,অহিত 
অংশ,পূর্ণ
অকপট,কপট
অকর্মণ্য,কর্মঠ
অকাল,সুকাল
অগ্র,পশ্চাৎ
অগ্রজ,অনুজ
অসীম,সসীম
অগণ্য,নগণ্য
অগাধ,অগাধ
অগ্নি,জল
অঙ্কুর,ফল
অঙ্গীকার,অস্বীকার
অচল,সচল
অজ,তেজ
অজ্ঞ,বিজ্ঞ
অঞ্জলি,বর্জন
অতল,বিতল
অতি,অল্প
অতিবৃষ্টি,অনাবৃষ্টি
অতীত,ভবিষ্যৎ
অত্যধিক,অল্প
অদৃষ্ট,দৃষ্ট
অদ্য,কল্য
অধঃ,ঊর্ধ্ব
অধঃপতন,উন্নতি
অধম,উত্তম
অধমর্ণ,উত্তমর্ণ
অধিকার,অনধিকার
অধীন,স্বাধীন
অধীস,নিম্ন
অধুনা,তদানীন্তন
অধ্যবসায়,অনধ্যবসায়
অনন্ত,শান্ত
অনশন,অশন
অনাসক্ত,আসক্ত
অনাহুত,আহুত
অনিচ্ছা,ইচ্ছা
অনিল,অনল
অনুকূল,প্রতিকূল
অনুগ্রহ,নিগ্রহ
অনুজ,অগ্রজ
অনুতাপ,প্রীত
অনুরক্ত,বিরক্ত
অনুরাগ,বিরাগ
অনুরোধ,আদেশ
অনুলোম,প্রতিলোম
অনেক,এক
অন্ত,আদি
 অন্তর,বাহির
অন্তরঙ্গ,বহিরঙ্গ
অন্তরে,বাহিরে
অন্ধ,চক্ষুষ্মান
অন্ধকার,আলোক
অন্য,নিজ
অপকার,উপকার
অপচয়,সঞ্চয়
অপমান,সম্মান
অপরাহ্ণ,পূর্বাহ্ণ
অপরাধী,নিরপরাধ
অপুষ্টি,পুষ্টি
অপেক্ষা,উপেক্ষা
অপ্রকাশিত,প্রকাশিত
অপ্রস্তুত,প্রস্তুত
অবগত,অনবগত
অবগণনা,গণনা
অবনত,উন্নত
অবনতি,উন্নতি
অবলা,সবলা
অবশেষ,নিঃশেষ
অবসাদ,প্রফুল্লতা
অবস্থিষ্ণু,বর্ধিষ্ণু
অবাধ্য,বাধ্য
অবারিত,বারিত
অবাস্তব,বাস্তব
অবিচল,বিচলিত
অবিশ্বাস,বিশ্বাস
অভিজ্ঞ,অনভিজ্ঞ
অভিমান,নিরভিমান
অভিযুক্ত,অভিযোগকারী
অভ্যাস,অনভ্যাস
অমর,মরণশীল
অমাবস্যা,পূর্ণিমা
অমিয়,গরল
অমূল্য,মূল্যহীন
অমৃত,গরল/বিষ
অরুচি,রুচি
অর্থ,অনর্থ
অর্পণ,গ্রহণ
অর্বাচীন,প্রাচীন
অলীক,সত্য
অল্প,অধিক
অশনি,মঙ্গল
অশন,অনশন
অশিষ্ট,শিষ্ট
অশেষ,নিঃশেষ
অশ্ব,ঘটকী
অসতি,সতি
অসাড়,সাড়
অসি,মসী
অস্ত,উদয়
অস্থায়ী,স্থায়ী
অস্থির,স্থির
অহংকার,বিনয়
অহংকারী,নিরহংকার
অহ্ন,রাত্রি
আঁধার,আলো
আঁস্তাকুড়,রান্নাঘর
আঁ আঁ,উঁ উঁ
আকর্ষক,বিকর্ষক
আকর্ষণ,বিকর্ষণ
আকাঙ্ক্ষা,নিরাকাঙ্ক্ষা
আকার,নিরাকার
আকুঞ্চন,প্রসারণ
আকস্মিক,চিরন্তন
আক্রমণ,প্রতিরক্ষা
আগত,বিগত
আগমন,নির্গমন
আগা,গোড়া
আগামী,গত
আচার,অনাচার
আচ্ছাদন,উন্মোচন
আজ,কাল
আজব,সাধারণ
আজ্ঞা,অবজ্ঞা
আটক,ছাড়
আড়,সোজা
আঢ্য,অনাঢ্য
আতপ,ছায়া
আতর,নাদান
আত্মীয়,অনাত্মীয়
আদর,অনাদর
আদান,প্রদান
আদি,অন্ত
আদ্য,অন্ত্য
আধুনিক,প্রাচীন
আনন্দ,নিরানন্দ/বিষাদ
আপদ,সম্পদ
আপন,পর
আবাদ,অনাবাদ
আবাল,বৃদ্ধ
আবাহন,বিসর্জন
আবির্ভাব,তিরোভাব
আবিষ্কৃত,অনাবিষ্কৃত
আবৃত্ত,অনাবৃত
আবেগে,বিবেক
আভ্যন্তরীণ,বাহ্যিক
আমদানী,রপ্তানী
আমানত,খেয়ানত
আমিষ,নিরামিষ
আয়,ব্যয়
আয়ত্ত,আয়ত্তাতীত
আয়োজন,বিসর্জন
আরম্ভ,শেষ
আরোহণ,অবতরণ
আর্দ্র,শুষ্ক
আর্য,অনার্য
আলস্য,শ্রম
আলো,অন্ধকার
আলোক,তিমির
আশা,নিরাশা
আশীর্বাদ,অভিশাপ
আশ্চর্য,স্বাভাবিক
আশ্রয়,নিরাশ্রয়
আস্ত,কাটা
আস্তিক,নাস্তিক
আস্থা,অনাস্থা
আস্বাদ,বিস্বাদ
আহত,অনাহত
আহার,অনাহার
আহুত,অনাহুত
আহ্লাদ,বিষাদ
ইচ্ছাকৃত,অনিচ্ছাকৃত
ইচ্ছা,অনিচ্ছা
ইতর,ভদ্র
ইতি,শুরু
ইতিবাচক,নেতিবাচক
ইতোপূর্বে,ইতঃপরে
ইদান,তদান
ইদানীং,তদানীং
ইহা,উহা
ইহকাল,পরকাল
ইহলোক,পরলোক
ঈদৃশ,তাদৃশ
ঈপ্সিত,অনাত
ঈর্ষা,প্রীতি
ঈশ্বর,জীব
ঈষৎ,অধিক
উই,কালা
উক্তি,প্রত্যুক্তি
উগ্র,সৌম্য
উচিত,অনুচিত
উচ্চ,নীচ
উচ্চৈঃস্বরে,নীচৈঃস্বরে
উচ্ছ্বাস,বিষাদ
উজান,ভাটি
উজ্জ্বল,ম্লান
উঠতি,পড়তি
উড়ন,পতন
উতরাই,চড়াই
উত্তম,অধম
উত্তপ্ত,শীতল
উত্তর,প্রশ্ন
উত্তরণ,অবতরণ
উত্তরাধিকার,স্বোপার্জন
উত্তাল,তরঙ্গহীন
উত্থান,পতন
উৎপত্তি,বিনাশ
উৎসাহ,নিরুৎসাহ
উদয়,অস্ত
উদার,সংকীর্ণ
উদাস,আসক্ত
উদিত,অস্তমিত
উদ্ধত,বিনীত
উদ্যম,বিরাম
উদ্বেগ,শান্তি
উন্নতি,অবনতি
উন্মীলন,নিমীলন
উপকার,অপকার
উপচয়,অপচয়
উপচার,অপচার
উপতাক্য,অধিত্যকা
উপনীত,অপনীত
উপস্থিত,অনুপস্থিত
উপসর্গ,অনুসর্গ
উপায়,নিরুপায়
উপার্জন,অনুপার্জন
উপেক্ষা,অপেক্ষা
উভয়,একতরফা
উর্বর,ঊষর
উল্টা,সোজা
উষ্ণ,শীতল
ঊর্ধ্ব,অধঃ
ঊর্ধ্বতন,অধস্তন
ঋজু,বক্র
ঋণী,ধনী
ঋত,অনৃত
ঋদ্ধ,বিপন্ন
ঋণ,ধন
এক,বহু
একক,যৌথ
এককাল,চিরকাল
একতা,বিচ্ছিন্নতা
একদা,সর্বদা
একত্র,সর্বত্র
একে,অনেকে
একাল,সেকাল
এগনো,পিছানো
এড়ানো,জড়ানো
এত,তত
এপার,ওপার
এমুণ্ড,ওমুণ্ড
এরি,ওরি
এলো,গেল
এষণা,নিষ্কাম
ঐক্য,অনৈক্য
ঐচ্ছিক,আবশ্যিক
ঐতিহাসিক,অনৈতিহাসিক
ঐশ্বর্য,দারিদ্র্য
ঐহিক,পারত্রিক
ওঁচা,ভালো
ওজন,হালকা
ওটা,নামা
ওঠাপড়া,সাম্য
ওদিকের,এদিকের
ওর,এর
ওলট,পালট
ওস্তাদ,সাগরেদ
ঔচিত্য,অনৌচিত্য
ঔজ্জ্বল্য,মলিনতা
ঔদার্য,কার্পণ্য
ঔদ্ধত্য,বিনয়
ঔপন্যাসিক,বাস্তবিক
ঔষধ,পথ্য
কঠিন,কোমল
কনিষ্ঠ,জ্যেষ্ঠ
কপট,অকপট
কপ,নিষ্কপ
কবুল,রদ
কম,বেশি
কমতি,বাড়তি
করুণ,নিষ্ঠুর
করুণা,নির্দয়তা
কর্কশ,কোমল
কর্তা,গিন্নি
কর্ম,অকর্ম
কর্মঠ,অলস
কলঙ্ক,নিষ্কলঙ্ক
কলহ,মিলন
কল্যাণ,অকল্যাণ
কষ্ট,আরাম
কাকুতি,মিনতি
কাঁচা,পাকা
কাটতি,অনটন
কাতর,সুস্থ
কান্না,হাসি
কাপুরুষ,বীরপুরুষ
কাম্য,অকাম্য
কারণ,অকারণ
কার্পণ্য,ঔদার্য
কার্য,অকার্য
কাল,আজ
কালো,সাদা
কীর্ণ,বিকীর্ণ
কীর্তি,অপকীর্তি
কুঁড়ে,কর্মঠ
কুটিল,সরল
কুণ্ঠিত,অকুণ্ঠ
কুৎসা,প্রশংসা
কুৎসিত,সুন্দর
কুপথ,সুপথ
কুপুত্র,সুপুত্র
কুমন্ত্রণ,সুমন্ত্রণ
কুযশ,সুযশ
কূল,অকূল
কৃতকার্য,অকৃতকার্য
কৃতজ্ঞ,কৃতঘ্ন/অকৃতজ্ঞ
কৃত্তিম,স্বাভাবিক
কৃপণ,বদান্য
কৃশ,স্থূল
কৃষ্ণ,শুক্ল
কেজো,অকেজো
কোমল,কঠিন
ক্রয়,বিক্রয়
ক্রোধ,ক্ষমা
ক্লান্ত,অক্লান্ত
ক্লিষ্ট,অক্লিষ্ট
ক্ষয়,বৃদ্ধি
ক্ষতি,লাভ
ক্ষম,অক্ষম
ক্ষমা,শাস্তি
ক্ষণিক,চিরন্তন
ক্ষয়িষ্ণু,বর্ধিষ্ণু
ক্ষিপ্র,মন্থর
ক্ষীণ,স্থূল
ক্ষুণ্ন,অক্ষুণ্ন
ক্ষুদ্র,বৃহৎ
ক্ষেত,খামার
খ্যাতি,অখ্যাতি
খণ্ড,অখণ্ড
খণ্ডন,মণ্ডন
খত,মহাজন
খরিদ্দার,বিক্রেতা
খাঁটি,ভেজাল
খাতক,মহাজন
খালাস,আটক
খিন্ন,প্রফুল্ল
খুচরা,পাইকারি
খুলনা,বাঁধা
খেদ,হর্ষ
খেয়াল,বেখেয়াল
খ্যাতি,অখ্যাতি
গগন,ধরা
গজ,পাকা
গঠন,ভাঙ্গন
গড়,বিগড়
গত,আগামী
গতি,স্থিতি
গদ্য,পদ্য
গণ্ডগোল,শান্তি
গভীর,অগভীর
গমন,আগমন
গরিমা,লঘিমা
গরল,অমৃত
গরিব,ধনী
গর্ব,বিনয়
গর্হিত,প্রশংসিত
গ্রাম্য,নাগরিক/শুরে
গ্রাহ্য,অগ্রাহ্য
গৃহী,সন্ন্যাসী
গ্রহণ,বর্জন
গ্রাম,শহর
গ্লানি,আনন্দ
ঘন,তরল
ঘর,বাহির
ঘাট,অঘাট
ঘাত,প্রতিঘাত
ঘৃণা,শ্রদ্ধা
ঘোলা,পরিষ্কার
চঁঞ্চল,স্থির
চড়াই,উতরাই
চতুর,বোকা
চপলা,ধীরা
চরিত্রবান,চরিত্রহীন
চল,অচল
চলিষ্ণু,স্থির
চলতি,সাবেকী
চেনা,অচেনা
চেষ্টা,নিশ্চেষ্টা
চেতন,জড়
চোর,সাধু
চৌকি,বেচৌকি
চৌকুস,বোকা
চ্যুত,অচ্যুত
ছন্ন,বিছন্ন
ছল,নিছল
ছাত্র,শিক্ষক
ছায়া,কায়া
ছাড়া,ধরা
ছি,বাঃ
ছিপছিপে,মোটা
ছুঁত,অছুঁত
ছোট,বড়
জটিল,সরল
জড়,চেতন
জন্ম,মৃত্যু
জয়,পরাজয়
জরুরী,গৌণ
জল,স্থল
জলচর,স্থলচর
জাগরিত,নিদ্রিত
